16.2 16.2 16.2 72 11.1 9.7 0.80 17.7 16.1 15.9 15.8 1016.0 0.00 0.0 0.008 0.000 28.2 38 12.5 27.8 7.25 1.1585 118 1 100.0 5
16.1 16.2 16.1 72 11.1 6.4 0.54 14.5 16.1 15.8 15.8 1016.1 0.00 0.0 0.008 0.000 28.2 38 12.5 27.8 7.25 1.1586 116 1 100.0 5
16.1 16.1 16.1 72 11.0 6.4 0.54 14.5 16.1 15.8 15.8 1016.0 0.00 0.0 0.008 0.000 28.2 38 12.5 27.8 7.25 1.1585 117 1 100.0 5
16.1 16.1 16.1 72 11.1 4.8 0.40 16.1 16.1 15.8 15.8 1016.1 0.00 0.0 0.008 0.000 28.2 38 12.5 27.8 7.25 1.1586 116 1 100.0 5
16.1 16.1 16.1 71 10.8 6.4 0.54 20.9 16.1 15.8 15.8 1016.0 0.00 0.0 0.008 0.000 28.2 38 12.5 27.8 7.25 1.1585 116 1 100.0 5
16.1 16.1 16.1 71 10.8 6.4 0.54 14.5 16.1 15.8 15.8 1016.0 0.00 0.0 0.008 0.000 28.2 38 12.5 27.8 7.25 1.1585 117 1 100.0 5
16.1 16.1 16.1 71 10.8 8.0 0.67 17.7 16.1 15.8 15.8 1016.1 0.00 0.0 0.008 0.000 28.2 38 12.5 27.8 7.25 1.1586 116 1 100.0 5
15.9 16.1 15.9 71 10.7 9.7 0.80 17.7 15.8 15.7 15.5 1016.0 0.00 0.0 0.008 0.000 28.2 38 12.5 27.8 7.25 1.1585 117 1 100.0 5
15.9 15.9 15.9 71 10.6 8.0 0.67 20.9 15.9 15.6 15.6 1016.0 0.00 0.0 0.008 0.000 28.2 38 12.5 27.8 7.25 1.1585 117 1 100.0 5
15.9 15.9 15.9 71 10.6 8.0 0.67 17.7 15.9 15.6 15.6 1016.0 0.00 0.0 0.008 0.000 28.2 37 12.1 27.7 7.10 1.1590 117 1 100.0 5
15.9 15.9 15.9 71 10.6 6.4 0.54 14.5 15.9 15.6 15.6 1016.0 0.00 0.0 0.008 0.000 28.2 37 12.1 27.7 7.10 1.1590 117 1 100.0 5
15.9 15.9 15.9 71 10.6 8.0 0.67 16.1 15.9 15.6 15.6 1016.1 0.00 0.0 0.008 0.000 28.1 37 12.0 27.6 7.10 1.1596 117 1 100.0 5
15.8 15.9 15.8 71 10.5 8.0 0.67 19.3 15.8 15.4 15.4 1016.1 0.00 0.0 0.009 0.000 28.1 37 12.0 27.6 7.10 1.1596 117 1 100.0 5
15.7 15.8 15.7 71 10.5 8.0 0.67 22.5 15.7 15.4 15.4 1016.1 0.00 0.0 0.009 0.000 28.1 37 12.0 27.6 7.10 1.1595 116 1 100.0 5
15.6 15.7 15.6 71 10.4 8.0 0.67 19.3 15.6 15.3 15.3 1016.1 0.00 0.0 0.009 0.000 28.1 37 12.0 27.6 7.10 1.1595 116 1 100.0 5
15.6 15.6 15.6 71 10.4 6.4 0.54 22.5 15.6 15.3 15.3 1016.1 0.00 0.0 0.009 0.000 28.1 37 12.0 27.6 7.10 1.1596 116 1 100.0 5
15.7 15.7 15.6 71 10.4 8.0 0.67 17.7 15.7 15.3 15.3 1016.2 0.00 0.0 0.009 0.000 28.1 37 12.0 27.6 7.10 1.1597 117 1 100.0 5
15.6 15.7 15.6 72 10.6 8.0 0.67 17.7 15.6 15.3 15.3 1016.2 0.00 0.0 0.009 0.000 28.2 38 12.5 27.8 7.25 1.1587 115 1 100.0 5
15.6 15.7 15.6 72 10.6 9.7 0.80 22.5 15.4 15.3 15.1 1016.2 0.00 0.0 0.009 0.000 28.2 41 13.7 28.0 7.70 1.1574 117 1 100.0 5
15.6 15.6 15.6 72 10.6 8.0 0.67 19.3 15.6 15.3 15.3 1016.3 0.00 0.0 0.009 0.000 28.2 42 14.0 28.1 7.85 1.1571 116 1 100.0 5
15.7 15.7 15.6 72 10.6 6.4 0.54 14.5 15.7 15.4 15.4 1016.2 0.00 0.0 0.009 0.000 28.2 41 13.7 28.0 7.70 1.1574 116 1 100.0 5
15.6 15.7 15.6 72 10.5 9.7 0.80 20.9 15.3 15.3 15.1 1016.3 0.00 0.0 0.010 0.000 28.2 41 13.7 28.0 7.70 1.1575 117 1 100.0 5
15.5 15.6 15.5 72 10.5 9.7 0.80 25.7 15.3 15.2 15.0 1016.3 0.00 0.0 0.010 0.000 28.2 41 13.7 28.0 7.70 1.1575 117 1 100.0 5
15.4 15.5 15.4 73 10.6 9.7 0.80 27.4 15.2 15.2 14.9 1016.2 0.00 0.0 0.010 0.000 28.2 40 13.3 27.9 7.55 1.1578 116 1 100.0 5
15.4 15.4 15.4 73 10.6 9.7 0.80 22.5 15.2 15.2 14.9 1016.2 0.00 0.0 0.010 0.000 28.1 40 13.2 27.8 7.55 1.1584 116 1 100.0 5
15.4 15.4 15.4 73 10.6 9.7 0.80 19.3 15.1 15.1 14.8 1016.1 0.00 0.0 0.010 0.000 28.1 39 12.8 27.7 7.40 1.1588 117 1 100.0 5
15.4 15.4 15.4 73 10.6 6.4 0.54 20.9 15.4 15.1 15.1 1016.1 0.00 0.0 0.010 0.000 28.1 39 12.8 27.7 7.40 1.1588 117 1 100.0 5
15.4 15.4 15.4 73 10.6 8.0 0.67 19.3 15.3 15.1 15.1 1016.3 0.00 0.0 0.010 0.000 28.1 39 12.8 27.7 7.40 1.1589 117 1 100.0 5
15.4 15.4 15.4 73 10.6 8.0 0.67 19.3 15.3 15.1 15.1 1016.3 0.00 0.0 0.010 0.000 28.1 39 12.8 27.7 7.40 1.1589 117 1 100.0 5
15.4 15.4 15.4 74 10.8 9.7 0.80 16.1 15.1 15.1 14.8 1016.3 0.00 0.0 0.010 0.000 28.1 38 12.4 27.6 7.25 1.1594 117 1 100.0 5
15.4 15.4 15.4 74 10.8 9.7 0.80 24.1 15.1 15.1 14.8 1016.5 0.00 0.0 0.010 0.000 28.1 38 12.4 27.6 7.25 1.1596 117 1 100.0 5
15.4 15.4 15.4 74 10.8 9.7 0.80 24.1 15.1 15.1 14.8 1016.5 0.00 0.0 0.010 0.000 28.1 38 12.4 27.6 7.25 1.1596 117 1 100.0 5
15.4 15.4 15.4 74 10.8 8.0 0.67 20.9 15.3 15.1 15.1 1016.5 0.00 0.0 0.010 0.000 27.9 38 12.3 27.4 7.25 1.1602 117 1 100.0 5
15.4 15.4 15.3 75 11.0 9.7 0.80 22.5 15.1 15.2 14.9 1016.5 0.00 0.0 0.010 0.000 27.9 38 12.3 27.4 7.25 1.1602 116 1 100.0 5
15.3 15.3 15.3 75 10.9 12.9 1.07 22.5 14.4 15.0 14.1 1016.5 0.00 0.0 0.011 0.000 27.9 38 12.3 27.4 7.25 1.1601 117 1 100.0 5
15.3 15.3 15.2 76 11.1 9.7 0.80 25.7 15.0 15.1 14.8 1016.5 0.00 0.0 0.011 0.000 27.9 38 12.3 27.4 7.25 1.1602 117 1 100.0 5
15.2 15.3 15.2 76 11.0 11.3 0.94 24.1 14.7 15.0 14.5 1016.5 0.00 0.0 0.011 0.000 27.8 38 12.2 27.3 7.25 1.1607 117 1 100.0 5
15.2 15.2 15.2 76 11.0 9.7 0.80 25.7 14.9 14.9 14.7 1016.6 0.00 0.0 0.011 0.000 27.8 38 12.2 27.3 7.25 1.1608 117 1 100.0 5
15.2 15.2 15.2 76 11.0 9.7 0.80 25.7 14.9 14.9 14.7 1016.5 0.00 0.0 0.011 0.000 27.9 39 12.7 27.6 7.40 1.1597 117 1 100.0 5
15.1 15.2 15.1 77 11.1 11.3 0.94 24.1 14.5 14.8 14.3 1016.4 0.00 0.0 0.011 0.000 27.9 38 12.3 27.4 7.25 1.1600 115 1 100.0 5
15.1 15.1 15.1 77 11.1 8.0 0.67 20.9 14.9 14.8 14.7 1016.5 0.00 0.0 0.011 0.000 27.9 38 12.3 27.4 7.25 1.1601 118 1 100.0 5
15.1 15.1 15.0 77 11.1 11.3 0.94 27.4 14.5 14.8 14.3 1016.5 0.00 0.0 0.011 0.000 27.8 38 12.2 27.3 7.25 1.1607 117 1 100.0 5
15.0 15.1 15.0 77 11.0 11.3 0.94 24.1 14.4 14.8 14.2 1016.5 0.00 0.0 0.012 0.000 27.8 38 12.2 27.3 7.25 1.1607 117 1 100.0 5
14.9 15.0 14.9 77 10.9 11.3 0.94 24.1 14.4 14.7 14.2 1016.5 0.00 0.0 0.012 0.000 27.8 38 12.2 27.3 7.25 1.1607 116 1 100.0 5
14.9 14.9 14.9 77 10.9 11.3 0.94 24.1 14.4 14.7 14.2 1016.7 0.00 0.0 0.012 0.000 27.8 38 12.2 27.3 7.25 1.1609 117 1 100.0 5
14.9 14.9 14.9 77 10.9 14.5 1.21 30.6 13.5 14.7 13.3 1016.7 0.00 0.0 0.012 0.000 27.8 38 12.2 27.3 7.25 1.1609 117 1 100.0 5
14.8 14.9 14.8 77 10.8 11.3 0.94 19.3 14.2 14.6 14.0 1016.7 0.00 0.0 0.012 0.000 27.8 38 12.2 27.3 7.25 1.1612 117 1 100.0 5
14.8 14.8 14.8 78 11.0 9.7 0.80 22.5 14.4 14.7 14.3 1016.7 0.00 0.0 0.012 0.000 27.8 38 12.2 27.3 7.25 1.1612 117 1 100.0 5
14.8 14.8 14.8 78 11.0 9.7 0.80 19.3 14.4 14.7 14.3 1016.7 0.00 0.0 0.012 0.000 27.8 38 12.2 27.3 7.25 1.1612 117 1 100.0 5
14.8 14.8 14.8 78 11.0 9.7 0.80 25.7 14.4 14.6 14.2 1016.7 0.00 0.0 0.012 0.000 27.8 38 12.2 27.3 7.25 1.1612 117 1 100.0 5
14.8 14.8 14.7 79 11.2 9.7 0.80 17.7 14.4 14.6 14.2 1016.7 0.00 0.0 0.012 0.000 27.8 38 12.2 27.3 7.25 1.1612 117 1 100.0 5
