8.7 8.7 8.7 85 6.3 8 0.13 11.3 7.5 8.7 7.5 1025.3 0 0 0.007 0 25 39 10.1 24.6 7.51 1.1842 8.9 23 1 100 1
8.7 8.7 8.7 85 6.3 8 0.13 9.7 7.5 8.7 7.5 1025.3 0 0 0.007 0 25 38 9.7 24.5 7.31 1.1846 8.9 23 1 100 1
8.8 8.8 8.7 85 6.4 6.4 0.11 9.7 8 8.8 8 1025.3 0 0 0.007 0 25 38 9.7 24.5 7.31 1.1846 8.9 23 1 100 1
8.8 8.8 8.8 85 6.4 8 0.13 11.3 7.6 8.8 7.6 1025.3 0 0 0.007 0 25 38 9.7 24.5 7.31 1.1846 8.9 23 1 100 1
8.8 8.8 8.8 85 6.4 8 0.13 11.3 7.6 8.8 7.6 1025.3 0 0 0.007 0 25 39 10.1 24.6 7.51 1.1842 8.9 24 1 100 1
8.8 8.8 8.8 85 6.4 8 0.13 11.3 7.6 8.8 7.6 1025.3 0 0 0.007 0 25 38 9.7 24.5 7.31 1.1846 8.9 22 1 95.7 1
8.8 8.8 8.8 85 6.4 6.4 0.11 9.7 8.1 8.8 8.1 1025.3 0 0 0.007 0 25 38 9.7 24.5 7.31 1.1846 8.9 24 1 100 1
8.8 8.8 8.8 85 6.4 4.8 0.08 8 8.5 8.8 8.5 1025.3 0 0 0.007 0 25 38 9.7 24.5 7.31 1.1846 8.9 22 1 95.7 1
8.9 8.9 8.8 85 6.5 8 0.13 9.7 7.7 8.9 7.7 1025.3 0 0 0.007 0 25 38 9.7 24.5 7.31 1.1846 8.9 23 1 100 1
8.8 8.9 8.8 85 6.4 1.6 0.03 8 8.8 8.8 8.8 1025.3 0 0 0.007 0 25 38 9.7 24.5 7.31 1.1846 8.9 23 1 100 1
8.9 8.9 8.9 85 6.5 6.4 0.11 11.3 8.1 8.9 8.1 1025.4 0 0 0.007 0 25 38 9.7 24.5 7.31 1.1846 8.9 23 1 100 1
8.9 8.9 8.9 85 6.5 4.8 0.08 8 8.6 8.9 8.6 1025.4 0 0 0.007 0 25 38 9.7 24.5 7.31 1.1846 8.9 22 1 95.7 1
8.9 8.9 8.9 85 6.5 11.3 0.19 14.5 7.1 8.9 7.1 1025.3 0 0 0.007 0 25 38 9.7 24.5 7.31 1.1846 8.9 23 1 100 1
8.9 8.9 8.9 85 6.5 8 0.13 11.3 7.7 8.9 7.7 1025.3 0 0 0.007 0 25 38 9.7 24.5 7.31 1.1846 8.9 24 1 100 1
